id,recipe_name,Category,url,prep_time,cuisine_path,cook_time,total_time,servings,yield,ingredients,directions,rating,nutrition,timing,img_src
47,Grilled Brie and Pear Sandwich,vegetarian,https://www.allrecipes.com/recipe/237472/grilled-brie-and-pear-sandwich/,10 mins,/Main Dishes/Sandwich Recipes/Grilled Cheese/,5 mins,15 mins,1,1 sandwich,"2 tablespoons butter, softened, 2 thick slices French bread, 6 thin slices  Brie cheese, or more to taste, 12  fresh thyme leaves, or to taste, 1 pinch cracked black pepper, 6 slices pear (such as Bosc),   salt to taste","Generously butter one side of each slice of bread.
Heat a skillet over medium heat.
Place bread slices butter-side down into hot skillet. Arrange Brie cheese slices on top of each piece of bread. Sprinkle thyme and cracked black pepper over the top.
Spread pear slices in a single layer over the Brie cheese on one slice of bread and top with a pinch of salt.
Flip the slice of bread without pears onto the slice of bread with the pear slices. Continue cooking sandwich until cheese and pear are heated through and cheese is melted, 2 to 3 minutes per side. Transfer to a plate and cut into halves.











Chef John
",4.8,"Total Fat 41g 53%, Saturated Fat 26g 128%, Cholesterol 121mg 40%, Sodium 998mg 43%, Total Carbohydrate 57g 21%, Dietary Fiber 6g 23%, Total Sugars 10g, Protein 22g, Vitamin C 23mg 116%, Calcium 209mg 16%, Iron 5mg 30%, Potassium 375mg 8%","Prep Time: 10 mins, Cook Time: 5 mins, Total Time: 15 mins, Servings: 1, Yield: 1 sandwich",https://www.allrecipes.com/thmb/4RJwFW483KKARGzA7Pga2kdOAMs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1123463-grilled-brie-and-pear-sandwich-Chef-John-1x1-1-cedc15402ec247c493bc97ec3debc47e.jpg
48,Cranberry Sauce Extraordinaire,vegan,https://www.allrecipes.com/recipe/13643/cranberry-sauce-extraordinaire/,10 mins,/Side Dish/Sauces and Condiments/Sauces/Cranberry Sauce Recipes/,35 mins,45 mins,12,12 servings,"1 cup water, 1 cup white sugar, 1 (12 ounce) package fresh cranberries, 1  orange, peeled and pureed, 1  apple - peeled, cored and diced, 1  pear - peeled, cored and diced, 1 cup chopped dried mixed fruit, 1 cup chopped pecans, ½ teaspoon salt, 1 teaspoon ground cinnamon, ½ teaspoon ground nutmeg","In a medium saucepan, boil water and sugar until the sugar dissolves. Reduce the heat to simmer, and stir in cranberries, pureed orange, apple, pear, dried fruit, pecans, salt, cinnamon, and nutmeg. Cover, and simmer for 30 minutes, stirring occasionally, until the cranberries burst. Remove from heat, and let cool to room temperature.",4.8,"Total Fat 7g 9%, Saturated Fat 1g 3%, Sodium 100mg 4%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 22g, Protein 2g, Vitamin C 13mg 65%, Calcium 24mg 2%, Iron 1mg 4%, Potassium 220mg 5%","Prep Time: 10 mins, Cook Time: 35 mins, Total Time: 45 mins, Servings: 12, Yield: 12 servings",https://www.allrecipes.com/thmb/PqoNDKUqkiywKW-SYZWHbunVYuA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2907429-cranberry-sauce-extraordinaire-Elizabeth-4x3-1-b324d62d29484113a2ae92ef5dbb0c9f.jpg
49,Pear and Blue Cheese Salad,vegetarian,https://www.allrecipes.com/recipe/147395/pear-and-blue-cheese-salad/,15 mins,/Salad/Green Salad Recipes/,,15 mins,6,6 servings,"1 (10 ounce) bag mixed field greens, ½ cup sliced red onion (Optional), 1  Bosc pear, cored and sliced, ½ cup chopped candied pecans, ½ cup crumbled blue cheese, ¼ cup maple syrup, ⅓ cup apple cider vinegar, ½ cup mayonnaise, 2 tablespoons packed brown sugar, ¾ teaspoon salt, ¼ teaspoon freshly ground black pepper, ¼ cup walnut oil","Place the salad greens in a large bowl. Add the red onion, pear, pecans, and blue cheese, and toss to mix evenly.
To make the dressing, place the maple syrup, vinegar, mayonnaise, brown sugar, salt, and pepper in a blender, and blend thoroughly. With the motor running, slowly pour in the walnut oil. Blend until mixture becomes creamy, about 1 minute. Pour over salad mixture, and toss to coat greens evenly. Serve immediately.









",4.9,"Total Fat 30g 39%, Saturated Fat 6g 29%, Cholesterol 15mg 5%, Sodium 631mg 27%, Total Carbohydrate 25g 9%, Dietary Fiber 3g 12%, Total Sugars 18g, Protein 8g, Vitamin C 10mg 48%, Calcium 106mg 8%, Iron 1mg 7%, Potassium 367mg 8%","Prep Time: 15 mins, Total Time: 15 mins, Servings: 6, Yield: 6 servings",https://www.allrecipes.com/thmb/Ur_JE5HgUnhf_506dEbIiXIuah0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3927764-2555e16368a4430587a4bcc42de106b2.jpg
50,Poached Pears Belle Helene,meat,https://www.allrecipes.com/recipe/245028/poached-pears-belle-helene/,20 mins,/Cuisine/European/French/,20 mins,3 hrs,4,4 pears,"6 cups water, 1  lemon, zested and juiced, 4  Bosc pears - cored, peeled, stems left on, 1  vanilla bean, 3 cups sugar, 1 cup prepared hot fudge topping, or as needed, 1 cup vanilla ice cream, or as needed","Place water in a heavy pot. Stir in zest and juice of 1 lemon. Place pears in pot. Split the vanilla bean lengthwise and scrape out the seeds. Add the seeds and split pods to the poaching liquid. Pour in sugar.
Bring pot to a simmer over medium-high heat; stir gently to dissolve sugar with minimal jostling of the pears. Reduce heat so pears continue cooking over a steady, gentle simmer. Pears need to stay submerged, so place a small plate over them in the pot to keep them under the liquid. Simmer until pears are just tender, 20 to 25 minutes. (Remove plate to test the pears for doneness.) Remove pot from heat and let pears cool to room temperature in the poaching liquid.
Transfer pears and vanilla beans to a storage container and cover with some of the poaching liquid. Cover and refrigerate until pears are thoroughly chilled, several hours or overnight. Reserve all of the poaching liquid (see footnote).
Heat hot fudge sauce in a saucepan over medium heat until warm. Dip base of pear into the chocolate and spoon chocolate along the sides except for the top inch or so of the pear.
Place dipped pears in individual serving bowls with another generous spoonful of syrup and a small scoop of vanilla ice cream.









",4.9,"Total Fat 14g 17%, Saturated Fat 7g 33%, Cholesterol 15mg 5%, Sodium 252mg 11%, Total Carbohydrate 241g 88%, Dietary Fiber 9g 31%, Total Sugars 213g, Protein 4g, Vitamin C 29mg 144%, Calcium 171mg 13%, Iron 1mg 7%, Potassium 491mg 10%","Prep Time: 20 mins, Cook Time: 20 mins, Additional Time: 2 hrs 20 mins, Total Time: 3 hrs, Servings: 4, Yield: 4 pears",https://www.allrecipes.com/thmb/mf9hwt9VQzKrLAmb5SwnRTzCLJE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3939792-06e1a8218c5741b88c9b81fb8415268d.jpg
51,Cranberry Pear Salad,vegetarian,https://www.allrecipes.com/recipe/229399/cranberry-pear-salad/,15 mins,/Salad/Green Salad Recipes/,,15 mins,6,,"¾ cup olive oil, ¼ cup balsamic vinegar, 1 tablespoon dark brown sugar, 2 ½ teaspoons minced garlic, ½ teaspoon salt, ½ teaspoon freshly ground black pepper, 6 cups mixed baby greens, 3  pears, thinly sliced, 1 cup dried cranberries, 1 cup toasted pecans, ¾ cup cubed Havarti cheese, ½ cup toasted sliced almonds","Whisk olive oil, balsamic vinegar, brown sugar, garlic, salt, and black pepper in a medium bowl.
Combine greens, pears, cranberries, pecans, and Havarti cheese in a large bowl. Pour balsamic vinegar dressing over salad and toss. Garnish with almonds to serve.",4.8,"Total Fat 50g 64%, Saturated Fat 9g 44%, Cholesterol 18mg 6%, Sodium 335mg 15%, Total Carbohydrate 39g 14%, Dietary Fiber 7g 25%, Total Sugars 26g, Protein 8g, Vitamin C 14mg 70%, Calcium 144mg 11%, Iron 2mg 9%, Potassium 361mg 8%","Prep Time: 15 mins, Total Time: 15 mins, Servings: 6",https://www.allrecipes.com/thmb/Vdh7daTzUYgOx44e3URKRA_1nHY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2054484-73c8c5a4956642e6b5839038335fa7b0.jpg
52,Baby Food: Plum,vegan,https://www.allrecipes.com/recipe/247144/baby-food-plum/,10 mins,/Everyday Cooking/,10 mins,20 mins,6,1 1/2 cups,"4  plums - peeled, pitted, and cut into small chunks","Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Add plums, cover, and steam until tender, about 10 minutes.
Transfer plums to a food processor and blend, adding water from the saucepan as needed, until desired consistency is reached. Allow pureed plums to reach room temperature before serving or freezing.",5,"Total Fat 0g 0%, Total Carbohydrate 5g 2%, Dietary Fiber 1g 2%, Total Sugars 4g, Protein 0g, Vitamin C 4mg 21%, Calcium 3mg 0%, Iron 0mg 1%, Potassium 69mg 1%","Prep Time: 10 mins, Cook Time: 10 mins, Total Time: 20 mins, Servings: 6, Yield: 1 1/2 cups",https://www.allrecipes.com/thmb/JADaewEwJ6pqSx619t3drWHJAYU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4473902-e494dfdb46ae42688b69596db0e90fc6.jpg
53,Easy Plum Cake,vegetarian,https://www.allrecipes.com/recipe/283464/easy-plum-cake/,15 mins,/Desserts/Cakes/,45 mins,1 hrs,8,1 cake,"¾ cup white sugar, ½ cup unsalted butter, at room temperature , 2 large eggs, 1 cup all-purpose flour, 1 teaspoon baking powder, 1 pinch salt, 12 medium Italian plums, halved and pitted, 1 ½ tablespoons cinnamon sugar, or to taste","Preheat the oven to 350 degrees F (175 degrees C). Grease a 10-inch springform pan.
Combine sugar and butter in a large bowl and beat with an electric mixer until creamy. Add eggs, 1 at a time, and beat well after each addition. Combine flour, baking powder, and salt in a separate bowl and sift on top of the butter mixture. Mix to combine. Transfer batter into the prepared springform pan and smooth out.
Set plums inside batter, cut-side up, and sprinkle evenly with cinnamon sugar.
Bake in preheated oven on the lowest rack until a skewer comes out clean, 40 to 50 minutes. Serve warm or cool to room temperature.",5,"Total Fat 13g 17%, Saturated Fat 8g 39%, Cholesterol 77mg 26%, Sodium 100mg 4%, Total Carbohydrate 45g 16%, Dietary Fiber 2g 6%, Total Sugars 29g, Protein 4g, Vitamin C 9mg 47%, Calcium 52mg 4%, Iron 1mg 7%, Potassium 193mg 4%","Prep Time: 15 mins, Cook Time: 45 mins, Total Time: 1 hrs, Servings: 8, Yield: 1 cake",https://www.allrecipes.com/thmb/yRD5Y6Tn9njKyUq5VO441nauIFQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9060371-965f63dfadaf43f5ac8ad3fb0d3ed03e.jpg
54,Plum Pudding Sauce,vegetarian,https://www.allrecipes.com/recipe/23222/plum-pudding-sauce/,5 mins,/Side Dish/Sauces and Condiments/Sauces/Dessert Sauce Recipes/,20 mins,25 mins,4,4 servings,"2 tablespoons margarine, ¾ cup white sugar, 1  egg, 2 cups milk, 2 teaspoons all-purpose flour, 1 teaspoon vanilla extract","In a small saucepan over medium heat combine margarine, sugar and the egg. Pour in milk and cook until mixture begins to bubble; be careful not to scald. Stir in flour and vanilla; mix well and serve.",4.9,"Total Fat 9g 12%, Saturated Fat 3g 14%, Cholesterol 56mg 19%, Sodium 130mg 6%, Total Carbohydrate 45g 16%, Total Sugars 44g, Protein 6g, Vitamin C 0mg 2%, Calcium 152mg 12%, Iron 0mg 2%, Potassium 206mg 4%","Prep Time: 5 mins, Cook Time: 20 mins, Total Time: 25 mins, Servings: 4, Yield: 4 servings",https://www.allrecipes.com/thmb/7t2PIZl_9z9oZX5Bh0nIvn9pdvE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7938641-6be810de25e643f6b35c45da03e671bf.jpg
55,Plum Butter,vegetarian,https://www.allrecipes.com/recipe/255523/plum-butter/,10 mins,/Side Dish/Sauces and Condiments/Canning and Preserving Recipes/Fruit Butter Recipes/,6 hrs 45 mins,18 hrs 55 mins,32,4 cups,"4 ½ pounds plums, pitted and diced, ¼ cup water, or as needed, 1 cup white sugar","Place plums in a large stockpot and add enough water to cover the bottom of stockpot; cook over very low heat, stirring occasionally, until plums are broken down, about 2 hours. Remove stockpot from heat and cool for 2 hours.
Return stockpot to stovetop over low heat; cook gently for 2 to 3 hours. Remove from heat and keep at room temperature, 8 hours to overnight.
Cook plums over low heat, stirring occasionally, about 2 hours. Remove from heat and let stand at room temperature for 2 hours.
Bring plums to a boil; add sugar, lower heat, and simmer until thickened, about 15 minutes.
Sterilize jars and lids in boiling water for at least 5 minutes. Pack plum butter into hot jars, filling to within 1/4 inch of the top. Run a clean knife or thin spatula around the insides of the jars to remove any air bubbles. Wipe the rims of the jars with a moist paper towel to remove any food residue. Top with lids and screw on rings.
Place a rack in the bottom of a large stockpot and fill halfway with water. Bring to a boil and lower jars into the boiling water using a holder. Leave a 2-inch space between the jars. Pour in more boiling water if necessary to bring the water level to at least 1 inch above the tops of the jars. Bring the water to a rolling boil, cover the pot, and process for 15 minutes.
Remove the jars from the stockpot and place onto a cloth-covered or wood surface, several inches apart, until cool. Press the top of each lid with a finger, ensuring that the seal is tight (lid does not move up or down at all). Store in a cool, dark area.",5,"Total Fat 0g 0%, Sodium 0mg 0%, Total Carbohydrate 14g 5%, Dietary Fiber 1g 3%, Total Sugars 13g, Protein 0g, Vitamin C 6mg 31%, Calcium 4mg 0%, Iron 0mg 1%, Potassium 101mg 2%","Prep Time: 10 mins, Cook Time: 6 hrs 45 mins, Additional Time: 12 hrs, Total Time: 18 hrs 55 mins, Servings: 32, Yield: 4 cups",https://www.allrecipes.com/thmb/F367I96e_ETi64IVDNtGh3Z5BNo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4540723-86e304d70526487cab5bf29a04bb019f.jpg
56,Fresh Fruit Frangipane Tart,vegetarian,https://www.allrecipes.com/recipe/265860/fresh-fruit-frangipane-tart/,30 mins,/Cuisine/European/French/,45 mins,1 hrs 55 mins,8,,3  puff pastry rectangles,"Preheat the oven to 400 degrees F (200 degrees C).
Place 1 piece of puff pastry on a baking sheet lined with a silicone mat or parchment paper. Lightly moisten one of the short edges with water. Connect the end of other puff pastry to the moistened edge. Press pieces together to form a long rectangle, trimming off loose ends with a dough scraper as needed.
Cut third puff pastry piece lengthwise into 1-inch strips. Moisten the outer edges of the long rectangle with your finger; stick pastry strips on top. Poke shallow holes all over bottom of dough using a fork. Do not prick the raised border.
Bake pastry shell in the preheated oven until it starts to turn golden brown, about 15 minutes. Remove from oven. Reduce oven temperature to 375 degrees F (190 degrees C). Readjust the borders and push the bottom down with the flat side of a fork. Let cool completely while preparing filling.
Place butter and 1/3 cup plus 1 tablespoon sugar in a bowl; smear together using a spatula until combined. Whisk in egg until mixture is creamy. Add almond flour, salt, vanilla extract, and almond extract. Mix thoroughly. Cut each pluot into 6 wedges. Fill pastry shell with almond paste. Stick pluots snugly, but not too deeply, into filling.
Bake in the preheated oven until browned and almond filling is set, 30 to 40 minutes. Transfer tart onto a wire rack and let cool completely, at least 40 minutes.
Combine apricot jam and water in a microwave-safe bowl. Bring to a boil in the microwave. Let cool until warm. Brush glaze over cooled tart.









",4.8,"Total Fat 25g 32%, Saturated Fat 6g 31%, Cholesterol 29mg 10%, Sodium 204mg 9%, Total Carbohydrate 39g 14%, Dietary Fiber 2g 8%, Total Sugars 17g, Protein 7g, Vitamin C 1mg 4%, Calcium 10mg 1%, Iron 1mg 7%, Potassium 41mg 1%","Prep Time: 30 mins, Cook Time: 45 mins, Additional Time: 40 mins, Total Time: 1 hrs 55 mins, Servings: 8",https://www.allrecipes.com/thmb/eYkofsLn_WhR6T9BF8az-EnXKWM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5492689-f5884c5a50b74a58b8fc275b2abc507a.jpg
57,Judy's Brown Sauce,vegetarain,https://www.allrecipes.com/recipe/215124/judys-brown-sauce/,2 hrs,/Side Dish/Sauces and Condiments/Sauces/,3 hrs,6 hrs,200,15 half-pint jars,"10 cups peeled, cored, and roughly chopped tart apples, 10 cups pitted and halved fresh prune plums, 5 cups chopped onions, 6 cups malt vinegar, 5 cups white sugar, ½ cup salt, ½ cup Worcestershire sauce, 4 cloves garlic, minced, 2 teaspoons ground ginger, 2 teaspoons ground nutmeg, 2 teaspoons ground allspice, 2 teaspoons ground cayenne pepper, 15  half-pint canning jars with lids and rings","Working in batches, place the apples, plums and onions into the work bowl of a food processor, and grind until fine. Transfer the ground fruit and onions into a large pot, and stir in the malt vinegar, sugar, salt, Worcestershire sauce, garlic, ginger, nutmeg, allspice, and cayenne pepper until the mixture is well combined. Bring to a simmer over low heat, and simmer until brown and thickened, about 3 to 4 hours.
Sterilize the jars and lids in boiling water for at least 5 minutes. Pack the sauce into the hot, sterilized jars, filling the jars to within 1/4 inch of the top. Run a knife or a thin spatula around the insides of the jars after they have been filled to remove any air bubbles. Wipe the rims of the jars with a moist paper towel to remove any food residue. Top with lids, and screw on rings.
Place a rack in the bottom of a large stockpot, and fill halfway with water. Bring to a boil over high heat, then carefully lower the jars into the pot using a holder. Leave a 2 inch space between the jars. Pour in more boiling water if necessary until the water level is at least 1 inch above the tops of the jars. Bring the water to a full boil, cover the pot, and process for 10 minutes.
Remove the jars from the stockpot and place onto a cloth-covered or wood surface, several inches apart, until cool. Once cool, press the top of each lid with a finger, ensuring that the seal is tight (lid does not move up or down at all). Store in a cool, dark area.",5,"Total Fat 0g 0%, Sodium 9mg 0%, Total Carbohydrate 8g 3%, Dietary Fiber 0g 1%, Total Sugars 7g, Protein 0g, Vitamin C 2mg 12%, Calcium 4mg 0%, Iron 0mg 1%, Potassium 39mg 1%","Prep Time: 2 hrs, Cook Time: 3 hrs, Additional Time: 1 hrs, Total Time: 6 hrs, Servings: 200, Yield: 15 half-pint jars",https://www.allrecipes.com/thmb/XGh3v0S1Mn-t72thvXf_OpuzNV8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1043788-0c3edab9fc164c3ba7778834a3515b6f.jpg
58,Plum Pudding II,vegetarian,https://www.allrecipes.com/recipe/24302/plum-pudding-ii/,20 mins,/Desserts/,2 hrs,2 hrs 20 mins,6,6 servings,"¼ cup butter, ⅓ cup brown sugar, 1 cup milk, 12  dates, pitted and chopped, ½ cup raisins, ¼ cup dried currants, ¼ cup candied mixed fruit peel, chopped, 1  orange, zested, 1 teaspoon baking soda, 1 cup self-rising flour, 2 teaspoons ground cinnamon, 1 pinch salt","Well grease a pudding mold.
In a large saucepan combine butter, sugar, milk, dates, raisins, currants, mixed fruit peel and zest of the orange; bring to a boil. Remove from heat and stir in baking soda. Sift in the flour, cinnamon and salt; mix gently until blended. Pour into prepared pudding mold.
Cover with a double layer of greased wax paper and steam for 2 hours.",4.9,"Total Fat 9g 11%, Saturated Fat 5g 27%, Cholesterol 24mg 8%, Sodium 549mg 24%, Total Carbohydrate 55g 20%, Dietary Fiber 3g 10%, Total Sugars 20g, Protein 4g, Vitamin C 10mg 50%, Calcium 149mg 11%, Iron 2mg 8%, Potassium 275mg 6%","Prep Time: 20 mins, Cook Time: 2 hrs, Total Time: 2 hrs 20 mins, Servings: 6, Yield: 6 servings",https://www.allrecipes.com/thmb/at_4aLNXeEShW_wVwhW0cYvFSEQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6164042-b6f2a231f6ef454e94f93a787763cbc2.jpg
59,Prune Filling,vegetarian,https://www.allrecipes.com/recipe/26216/prune-filling/,10 mins,/Desserts/Fillings/Fruit Fillings/,,10 mins,24,3 cups,"1 cup chopped pecans, 1 (16 ounce) can stewed prunes, 2 tablespoons white sugar, ½ teaspoon ground cinnamon, ¼ teaspoon ground cloves, 1 tablespoon lime juice","Chop pecans and prunes together in a blender or food processor, stir in the sugar, cinnamon, cloves and lime juice. Use as a filling for cookies or pastries.",5,"Total Fat 3g 4%, Saturated Fat 0g 2%, Sodium 1mg 0%, Total Carbohydrate 7g 3%, Dietary Fiber 1g 4%, Total Sugars 6g, Protein 1g, Vitamin C 1mg 4%, Calcium 7mg 1%, Iron 0mg 1%, Potassium 62mg 1%","Prep Time: 10 mins, Total Time: 10 mins, Servings: 24, Yield: 3 cups",https://www.allrecipes.com/thmb/rLCRIG0I7zNR32oUvZZEM-k8IaY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5057331-66818de25d3c45749dca1964b39a5386.jpg
60,Rogaliki (Polish Jam-Filled Crescents),vegetarian,https://www.allrecipes.com/recipe/262728/rogaliki-polish-jam-filled-crescents/,1 hrs,/Cuisine/European/Eastern European/Polish/,20 mins,2 hrs,40,40 rogaliki,"3 ½ ounces compressed fresh yeast, 7 tablespoons milk, 5 ½ cups all-purpose flour, or more as needed, 2 ¼ cups unsalted butter, at room temperature, 4 tablespoons sour cream, 4 tablespoons white sugar, 2  eggs, 3  egg yolks, 1 ½ cups plum jam, 2 ½ cups confectioners' sugar, 2 tablespoons water, or as needed","Stir milk and yeast together in a bowl until smooth. Set aside until foamy, about 10 minutes.
Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper.
Combine flour, butter, sour cream, sugar, eggs, and egg yolks in a large bowl. Stir in yeast mixture. Mix well using an electric mixer at first, then using your hands.
Turn out dough onto a floured work surface and knead until smooth, adding more flour, 1 tablespoon at a time, if dough is sticking to your hands. Form dough into a long log and cut into 1 1/2-inch rounds. Cover rounds with a cloth.
Roll each round of dough into a thin circle. Cut the circle into six triangles, as you would a pizza. Place 1 teaspoon jam at the wider end of each triangle, then roll up like a croissant. Place on the prepared baking sheet. Repeat until all the dough is used up.
Bake in the preheated oven until rogaliki have risen and are golden brown, about 20 minutes. Remove from oven and cool completely, about 30 minutes.
Place confectioners' sugar in a bowl and stir in water, 1 tablespoon at a time, until a drizzling consistency is reached. Drizzle icing over cooled rogaliki.









",5,"Total Fat 12g 15%, Saturated Fat 7g 35%, Cholesterol 53mg 18%, Sodium 9mg 0%, Total Carbohydrate 31g 11%, Dietary Fiber 1g 3%, Total Sugars 17g, Protein 3g, Calcium 14mg 1%, Iron 1mg 6%, Potassium 47mg 1%","Prep Time: 1 hrs, Cook Time: 20 mins, Additional Time: 40 mins, Total Time: 2 hrs, Servings: 40, Yield: 40 rogaliki",https://www.allrecipes.com/thmb/85RQDvCp4Iz9ngUH4eraAXTUSn8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5171050-65388ccea13d40819278a653dbfad00f.jpg
61,Chiles en Nogada (Mexican Stuffed Poblano Peppers in Walnut Sauce),vegan,https://www.allrecipes.com/recipe/259373/chiles-en-nogada-mexican-stuffed-poblano-peppers-in-walnut-sauce/,1 hrs,/Cuisine/Latin American/Mexican/,30 mins,1 hrs 35 mins,8,8 servings,8  poblano peppers,"Roast poblano chiles over an open flame on a gas stove or grill until the skin is black and charred on all sides, turning often, 10 to 15 minutes.
Place the charred chiles in a plastic bag or in a large bowl covered with plastic wrap. Allow to sit for 5 to 10 minutes, then open and peel off the skin. Cut a slit in each chile lengthwise and remove the seeds.
Heat olive oil in a large pot over medium heat. Add onion and garlic and cook until soft and translucent, 3 to 4 minutes. Add ground pork and cook until browned, breaking up with a spoon while cooking, about 7 minutes. Mix in tomatoes, plantain, apple, peach, parsley, candied orange peel, pine nuts, raisins, almonds, cloves, salt, and pepper. Simmer until filling is cooked through and flavors are well combined, about 10 minutes.
Combine walnuts, milk, goat cheese, sugar, and cinnamon stick in a blender; blend until walnut sauce is smooth and creamy.
Fill each poblano chile with the pork filling and place on a plate. Spoon walnut sauce over chile and sprinkle with pomegranate seeds and parsley.











Dotdash Meredith Food Studios
",5,"Total Fat 51g 65%, Saturated Fat 13g 66%, Cholesterol 86mg 29%, Sodium 227mg 10%, Total Carbohydrate 41g 15%, Dietary Fiber 9g 30%, Total Sugars 23g, Protein 34g, Vitamin C 107mg 533%, Calcium 231mg 18%, Iron 4mg 24%, Potassium 1220mg 26%","Prep Time: 1 hrs, Cook Time: 30 mins, Additional Time: 5 mins, Total Time: 1 hrs 35 mins, Servings: 8, Yield: 8 servings",https://www.allrecipes.com/thmb/Qz6erweTV1TckXtJkbZ5Cub7zdo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/JD_25897-1x1-1-1fad9867d82d423c8bf7dd897f542f66.jpg
62,Christmas Pomegranate Salad,vegetarian,https://www.allrecipes.com/recipe/268727/christmas-pomegranate-salad/,10 mins,/Salad/Green Salad Recipes/,,10 mins,2,,"3 cups leafy salad green mix, ½ cup pomegranate seeds, ⅓ cup crumbled blue cheese, ¼ cup crushed walnuts, ¼ cup cranberry vinaigrette","Toss leafy greens, pomegranate seeds, blue cheese, and walnuts together in a medium-sized salad bowl. Add cranberry vinaigrette just before serving.",4.8,"Total Fat 17g 21%, Saturated Fat 5g 26%, Cholesterol 17mg 6%, Sodium 447mg 19%, Total Carbohydrate 22g 8%, Dietary Fiber 3g 11%, Total Sugars 11g, Protein 9g, Vitamin C 17mg 87%, Calcium 181mg 14%, Iron 2mg 10%, Potassium 547mg 12%","Prep Time: 10 mins, Total Time: 10 mins, Servings: 2",https://www.allrecipes.com/thmb/6Mo9DEcorHiAqGhtOKOJdohanxE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/JD_25825-4x3-1-a40f6990d57b468187c162e4dcfd15a4.jpg
63,Pomegranate Holiday Cocktail,vegan,https://www.allrecipes.com/recipe/276186/pomegranate-holiday-cocktail/,5 mins,/Drinks Recipes/Cocktail Recipes/Vodka Drinks Recipes/,,5 mins,2,2 cocktails,"3 cups ice, or as needed, 2 fluid ounces vodka, 2 fluid ounces pomegranate juice, 1  lime, juiced, ½ fluid ounce orange-flavored liqueur, 2 ½ fluid ounces club soda, or as needed, 1 teaspoon pomegranate seeds, or to taste","Fill 2 highball glasses and a cocktail shaker with ice.
Add vodka, pomegranate juice, lime juice, and orange-flavored liqueur to the cocktail shaker and secure the lid. Place one hand on the lid and one hand on the shaker; shake vigorously until the outside of the shaker frosts, about a slow count to 10.
Pour evenly into the prepared glasses. Top with soda and pomegranate seeds; stir before serving.",5,"Total Fat 0g 0%, Sodium 15mg 1%, Total Carbohydrate 12g 4%, Dietary Fiber 1g 3%, Total Sugars 8g, Protein 0g, Vitamin C 10mg 50%, Calcium 23mg 2%, Iron 0mg 1%, Potassium 44mg 1%","Prep Time: 5 mins, Total Time: 5 mins, Servings: 2, Yield: 2 cocktails",https://www.allrecipes.com/thmb/soG8iIRTTXXp346oWmR7Q4YHK5g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/JD_25967-4x3-1-05644c4aeb014d16a8468f6eb7ce4dcf.jpg
